Alert ID,Ticker,Name,Description,Time,Webhook status
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:40 Price=24192.35,2026-04-15T08:12:01Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:40 Price=24206.5,2026-04-15T08:12:01Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:31 Price=24192.95,2026-04-15T08:03:01Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:31 Price=24192.95,2026-04-15T08:03:01Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:31 Price=24210.5,2026-04-15T08:03:00Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:26 Price=24209,2026-04-15T07:58:01Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T07:55:00Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""First Target Hit on 1 TimeFrame""}",2026-04-15T07:55:00Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 13:21 Price=24236.4,2026-04-15T07:53:01Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 13:21 Price=24236.4,2026-04-15T07:53:01Z,Webhook successfully delivered
